collected_at,backers_count,blurb,category_id,category_name,category_parent_id,category_parent_name,category_url,converted_pledged_amount,country,created_at,creator_id,creator_name,creator_url,currency,deadline,fx_rate,goal,id,launched_at,location_country,location_id,location_name,location_state,location_type,name,percent_funded,pledged,profile_blurb,profile_id,profile_name,profile_project_id,profile_state,profile_state_changed_at,project_url,spotlight,staff_pick,state,state_changed_at,static_usd_rate,usd_exchange_rate,usd_pledged,usd_type
20250525,20,What if your next favorite workout is rooted in our Filipino Culture?,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,4370,US,1745077536,692600390,Demeven Quirino,https://www.kickstarter.com/profile/692600390,USD,1751379587,1,35000,1816953288,1747491587,US,2377717,Cerritos,CA,Town,Tinikling Dance Inspired Workout Device,12.48571429,4370,None,5170872,None,5170872,inactive,1745077536,https://www.kickstarter.com/projects/692600390/tinikling-dance-inspired-workout-device,FALSE,FALSE,live,1747491591,1,1,4370,domestic
20250525,13,Your starter never dies with SourFriend : Powered by AI. Perfected Starter Rise.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,4203,US,1743489661,154183903,Toasterz,https://www.kickstarter.com/profile/toasterz,USD,1751625280,1,125000,1360139888,1746441280,KR,1132599,Seoul,Seoul,Town,SourFriend - The Endgame for Starter,3.3624,4203,None,5159425,None,5159425,inactive,1743489661,https://www.kickstarter.com/projects/toasterz/sourfriend-your-smart-sourdough-fermenter,FALSE,FALSE,live,1746441284,1,1,4203,domestic
20250525,119,Looks like C4. Smells like victory. Ultra smooth. Zero residue. Our 15th successful Kickstarter. 3 scents for the relentless warrior.,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,4085,US,1745283676,1404197788,TactiCouture,https://www.kickstarter.com/profile/tacticouture,USD,1750651200,1,1000,130663368,1747746002,US,2399912,Enumclaw,WA,Town,C4 SOAP - Tactical Warrior Soap: Blow the Hinges off Hygiene,408.5,4085,None,5172213,None,5172213,inactive,1745283676,https://www.kickstarter.com/projects/tacticouture/c4-soap-tactical-edc-natural-travel-gym-fitness-bjj-military,FALSE,FALSE,live,1747746007,1,1,4085,domestic
20250525,53,Paul Shaw lists it as “Overlooked & Underappreciated Typeface“. Let’s bring it to the 21st century. Complete. Faithful. And Free!,261,Typography,7,Design,http://www.kickstarter.com/discover/categories/design/typography,4063,DE,1744108343,1216324658,Ralf Herrmann,https://www.kickstarter.com/profile/schriftkontor,EUR,1748957209,1.13697993,6200,791695976,1745933209,DE,704770,Weimar,Thuringia,Town,An Open Source Revival of Rudolf Koch’s 1920s Serif Typeface,57.64516129,3574,None,5164008,None,5164008,inactive,1744108343,https://www.kickstarter.com/projects/schriftkontor/koch-revival,FALSE,TRUE,live,1745933212,1.13561129,1.13697993,4058.67475,domestic
20250525,0,Concrete Design| Smart Scale| 7-Stage Grinder | Extraction Control | Modular Cleaning| Antibacterial Surface,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1732180770,984074252,GrisBrew,https://www.kickstarter.com/profile/984074252,USD,0,1,0,976713505,0,US,2459115,New York,NY,Town,GrisBrew: Revolutionizing Coffee with Concrete Design,0,0,None,5074266,None,5074266,inactive,1732180770,https://www.kickstarter.com/projects/984074252/grisbrew-revolutionizing-coffee-with-concrete-design,FALSE,FALSE,submitted,1732693626,0,None,None,domestic
20250525,0,"A Brooklyn design studio for ages 6-11 committed to creating stronger, more confident kids set up for success in any career.",258,Architecture,7,Design,http://www.kickstarter.com/discover/categories/design/architecture,None,US,1741025783,203208329,Suzanne Lagasa,https://www.kickstarter.com/profile/suzannelagasa,USD,1750795200,1,0,1732439231,0,US,28751175,Boerum Hill,NY,Suburb,ProtoToto Design Lab for Kids,0,0,None,5141462,None,5141462,inactive,1741025783,https://www.kickstarter.com/projects/suzannelagasa/protototo-design-lab-for-kids,FALSE,TRUE,submitted,1746121398,0,None,None,domestic
20250525,0,Egyptian goddess Cat Bastet,396,Toys,7,Design,http://www.kickstarter.com/discover/categories/design/toys,None,CA,1662492270,233954031,Alice Studio,https://www.kickstarter.com/profile/alicestudio,CAD,0,0.72798748,0,1942691755,0,CA,9807,Vancouver,BC,Town,Egyptian goddess Bastet,0,0,None,4471138,None,4471138,inactive,1662492270,https://www.kickstarter.com/projects/alicestudio/egyptian-goddess-bastet,FALSE,FALSE,submitted,1664225249,0,None,None,domestic
20250525,0,Let's revolutionize the age-old cutting board!,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1597329992,1209747490,CHOP N DROP,https://www.kickstarter.com/profile/chopndrop,USD,0,1,0,1111507316,0,US,2367231,Boulder,CO,Town,CHOP N DROP Bamboo Cutting Board with Built-in Grater,0,0,None,4051579,None,4051579,inactive,1597329992,https://www.kickstarter.com/projects/chopndrop/chop-n-drop-bamboo-cutting-board-with-built-in-grater,FALSE,FALSE,submitted,1597611198,0,None,None,domestic
20250525,0,"High temperature SEAR GRILLS for amazing searing: steaks, fish & more. Awesome options: cast iron griddle, propane lighter and more.",28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1626391797,1379627487,Mark Crandon,https://www.kickstarter.com/profile/carbonyl,USD,0,1,0,618049038,0,US,2479714,Redwood City,CA,Town,Carbonyl Sear Grills: Sear to Perfection,0,0,None,4249326,None,4249326,inactive,1626391797,https://www.kickstarter.com/projects/carbonyl/carbonyl-sear-grills,FALSE,FALSE,submitted,1642713755,0,None,None,domestic
20250525,0,Functionality and Luxury Combined,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,GB,1610322328,144675146,Haider Abbas,https://www.kickstarter.com/profile/zyst,GBP,0,1.3542997,0,783290332,0,GB,44418,London,England,Town,Smart Modular Integrated Wallet,0,0,None,4140997,None,4140997,inactive,1610322328,https://www.kickstarter.com/projects/zyst/smart-modular-integrated-wallet,FALSE,FALSE,submitted,1613266700,0,None,None,domestic
20250525,0,This pocket sized device protects you from unpleasant public surfaces when you're on the go!,28,Product Design,7,Design,http://www.kickstarter.com/discover/categories/design/product%20design,None,US,1644277507,968298418,Shelley Katz and Iris Yellen,https://www.kickstarter.com/profile/germophobe,USD,0,1,0,1068397704,0,US,2490057,Scottsdale,AZ,Town,Healthy Signoff - Portable UV-C Device,0,0,None,4349949,None,4349949,inactive,1644277507,https://www.kickstarter.com/projects/germophobe/healthy-signoff-portable-uv-c-device,FALSE,FALSE,submitted,1644340793,0,None,None,domestic
